time,pressure,voltage,power
0.010682368,0.4834325,0.0594448,5.7074354656736963E-08
0.010747904,0.4859115,0.0594448,5.7074354656736963E-08
0.01081344,0.487151,0.0594448,5.7074354656736963E-08
0.010878976,0.487151,0.0594448,5.7074354656736963E-08
0.010944512,0.482193,0.0594448,5.7074354656736963E-08
0.011010048,0.4437665,0.0594448,5.7074354656736963E-08
0.011075584,0.436329,0.0594448,5.7074354656736963E-08
0.01114112,0.441287,0.0594448,5.7074354656736963E-08
0.011206656,0.4462455,0.0594448,5.7074354656736963E-08
0.011272192,0.4512035,0.0569679,5.241718451541E-08
0.011337728,0.4549225,0.0594448,5.7074354656736963E-08
0.011403264,0.4574015,0.0594448,5.7074354656736963E-08
0.0114688,0.46112,0.0594448,5.7074354656736963E-08
0.011534336,0.4635995,0.0594448,5.7074354656736963E-08
0.011599872,0.464839,0.0594448,5.7074354656736963E-08
0.011665408,0.4660785,0.0594448,5.7074354656736963E-08
0.011730944,0.4685575,0.0594448,5.7074354656736963E-08
0.01179648,0.4685575,0.0594448,5.7074354656736963E-08
0.011862016,0.453683,0.0594448,5.7074354656736963E-08
0.011927552,0.418975,0.0594448,5.7074354656736963E-08
0.011993088,0.4164955,0.0594448,5.7074354656736963E-08
0.012058624,0.4226935,0.0619216,6.1929504948984228E-08
0.01212416,0.427652,0.0619216,6.1929504948984228E-08
0.012189696,0.4313705,0.0619216,6.1929504948984228E-08
0.012255232,0.4350895,0.0594448,5.7074354656736963E-08
0.012320768,0.438808,0.0594448,5.7074354656736963E-08
0.012386304,0.441287,0.0594448,5.7074354656736963E-08
0.01245184,0.4425265,0.0594448,5.7074354656736963E-08
0.012517376,0.445006,0.0594448,5.7074354656736963E-08
0.012582912,0.4462455,0.0594448,5.7074354656736963E-08
0.012648448,0.447485,0.0594448,5.7074354656736963E-08
0.012713984,0.4487245,0.0594448,5.7074354656736963E-08
0.01277952,0.421454,0.0594448,5.7074354656736963E-08
0.012845056,0.397902,0.0594448,5.7074354656736963E-08
0.012910592,0.3991415,0.0594448,5.7074354656736963E-08
0.012976128,0.4041,0.0569679,5.241718451541E-08
0.013041664,0.4078185,0.0569679,5.241718451541E-08
0.0131072,0.412777,0.0569679,5.241718451541E-08
0.013172736,0.4164955,0.0569679,5.241718451541E-08
0.013238272,0.418975,0.0569679,5.241718451541E-08
0.013303808,0.421454,0.0569679,5.241718451541E-08
0.013369344,0.4226935,0.0569679,5.241718451541E-08
0.01343488,0.4251725,0.0569679,5.241718451541E-08
0.013500416,0.4251725,0.0569679,5.241718451541E-08
0.013565952,0.4264125,0.0569679,5.241718451541E-08
0.013631488,0.4264125,0.0569679,5.241718451541E-08
0.013697024,0.3904645,0.0569679,5.241718451541E-08
0.01376256,0.378069,0.0594448,5.7074354656736963E-08
0.013828096,0.380548,0.0594448,5.7074354656736963E-08
0.013893632,0.3855065,0.0569679,5.241718451541E-08
0.013959168,0.389225,0.0569679,5.241718451541E-08
0.014024704,0.3941835,0.0569679,5.241718451541E-08
0.01409024,0.3966625,0.0569679,5.241718451541E-08
0.014155776,0.4003815,0.0569679,5.241718451541E-08
0.014221312,0.4028605,0.0569679,5.241718451541E-08
0.014286848,0.4041,0.0569679,5.241718451541E-08
0.014352384,0.4053395,0.0569679,5.241718451541E-08
0.01441792,0.406579,0.054491,4.7958194550696963E-08
0.014483456,0.4078185,0.054491,4.7958194550696963E-08
0.014548992,0.4003815,0.0569679,5.241718451541E-08
0.014614528,0.366913,0.0569679,5.241718451541E-08
0.014680064,0.360715,0.0569679,5.241718451541E-08
0.0147456,0.3656735,0.0569679,5.241718451541E-08
0.014811136,0.369392,0.0569679,5.241718451541E-08
0.014876672,0.3731105,0.0569679,5.241718451541E-08
0.014942208,0.3768295,0.0569679,5.241718451541E-08
0.015007744,0.3793085,0.054491,4.7958194550696963E-08
0.01507328,0.3830275,0.0569679,5.241718451541E-08
0.015138816,0.384267,0.054491,4.7958194550696963E-08
0.015204352,0.386746,0.054491,4.7958194550696963E-08
0.015269888,0.386746,0.054491,4.7958194550696963E-08
0.015335424,0.3879855,0.0569679,5.241718451541E-08
0.01540096,0.3879855,0.0569679,5.241718451541E-08
0.015466496,0.3731105,0.054491,4.7958194550696963E-08
0.015532032,0.343361,0.0520142,4.3697552784064235E-08
0.015597568,0.3421215,0.054491,4.7958194550696963E-08
0.015663104,0.34708,0.054491,4.7958194550696963E-08
0.01572864,0.352038,0.0520142,4.3697552784064235E-08
0.015794176,0.355757,0.0520142,4.3697552784064235E-08
0.015859712,0.358236,0.0520142,4.3697552784064235E-08
0.015925248,0.360715,0.0520142,4.3697552784064235E-08
0.015990784,0.363194,0.0520142,4.3697552784064235E-08
0.01605632,0.3656735,0.0520142,4.3697552784064235E-08
0.016121856,0.366913,0.0520142,4.3697552784064235E-08
0.016187392,0.3681525,0.0520142,4.3697552784064235E-08
0.016252928,0.369392,0.0520142,4.3697552784064235E-08
0.016318464,0.3706315,0.0520142,4.3697552784064235E-08
0.016384,0.343361,0.0520142,4.3697552784064235E-08
0.016449536,0.3272465,0.0520142,4.3697552784064235E-08
0.016515072,0.328486,0.054491,4.7958194550696963E-08
0.016580608,0.332205,0.0520142,4.3697552784064235E-08
0.016646144,0.334684,0.0520142,4.3697552784064235E-08
0.01671168,0.337163,0.0520142,4.3697552784064235E-08
0.016777216,0.340882,0.0520142,4.3697552784064235E-08
0.016842752,0.343361,0.0520142,4.3697552784064235E-08
0.016908288,0.34584,0.0520142,4.3697552784064235E-08
0.016973824,0.34708,0.0520142,4.3697552784064235E-08
0.01703936,0.349559,0.0520142,4.3697552784064235E-08
0.017104896,0.349559,0.0495373,3.9634915171441507E-08
0.017170432,0.3507985,0.0495373,3.9634915171441507E-08
0.017235968,0.3483195,0.0520142,4.3697552784064235E-08
0.017301504,0.321049,0.0520142,4.3697552784064235E-08
0.01736704,0.311132,0.0520142,4.3697552784064235E-08
0.017432576,0.3136115,0.0520142,4.3697552784064235E-08
0.017498112,0.31733,0.0520142,4.3697552784064235E-08
0.017563648,0.321049,0.0520142,4.3697552784064235E-08
0.017629184,0.3247675,0.0520142,4.3697552784064235E-08
0.01769472,0.326007,0.0520142,4.3697552784064235E-08
0.017760256,0.329726,0.0520142,4.3697552784064235E-08
0.017825792,0.3309655,0.0520142,4.3697552784064235E-08
0.017891328,0.332205,0.0495373,3.9634915171441507E-08
0.017956864,0.3334445,0.0520142,4.3697552784064235E-08
0.0180224,0.3334445,0.0495373,3.9634915171441507E-08
0.018087936,0.334684,0.0495373,3.9634915171441507E-08
0.018153472,0.3272465,0.0495373,3.9634915171441507E-08
0.018219008,0.2987365,0.0520142,4.3697552784064235E-08
0.018284544,0.295018,0.0520142,4.3697552784064235E-08
0.01835008,0.297497,0.0520142,4.3697552784064235E-08
0.018415616,0.3012155,0.0495373,3.9634915171441507E-08
0.018481152,0.3049345,0.0520142,4.3697552784064235E-08
0.018546688,0.308653,0.0520142,4.3697552784064235E-08
0.018612224,0.311132,0.0495373,3.9634915171441507E-08
0.01867776,0.3136115,0.0520142,4.3697552784064235E-08
0.018743296,0.3136115,0.0495373,3.9634915171441507E-08
0.018808832,0.3160905,0.0495373,3.9634915171441507E-08
0.018874368,0.31733,0.0520142,4.3697552784064235E-08
0.018939904,0.3185695,0.0520142,4.3697552784064235E-08
0.01900544,0.3185695,0.0495373,3.9634915171441507E-08
0.019070976,0.302455,0.0495373,3.9634915171441507E-08
0.019136512,0.280143,0.0495373,3.9634915171441507E-08
0.019202048,0.280143,0.0495373,3.9634915171441507E-08
0.019267584,0.2838615,0.0495373,3.9634915171441507E-08
0.01933312,0.286341,0.0495373,3.9634915171441507E-08
0.019398656,0.28882,0.0495373,3.9634915171441507E-08
0.019464192,0.2925385,0.0495373,3.9634915171441507E-08
0.019529728,0.293778,0.0495373,3.9634915171441507E-08
0.019595264,0.2962575,0.0470604,3.5770457735432729E-08
0.0196608,0.297497,0.0495373,3.9634915171441507E-08
0.019726336,0.2987365,0.0495373,3.9634915171441507E-08
0.019791872,0.299976,0.0495373,3.9634915171441507E-08
0.019857408,0.299976,0.0495373,3.9634915171441507E-08
0.019922944,0.3012155,0.0495373,3.9634915171441507E-08
0.01998848,0.280143,0.0495373,3.9634915171441507E-08
0.020054016,0.2702265,0.0495373,3.9634915171441507E-08
0.020119552,0.271466,0.0495373,3.9634915171441507E-08
0.020185088,0.273945,0.0495373,3.9634915171441507E-08
0.020250624,0.276424,0.0470604,3.5770457735432729E-08
0.02031616,0.2789035,0.0470604,3.5770457735432729E-08
0.020381696,0.2813825,0.0470604,3.5770457735432729E-08
0.020447232,0.282622,0.0495373,3.9634915171441507E-08
0.020512768,0.285101,0.0495373,3.9634915171441507E-08
0.020578304,0.285101,0.0495373,3.9634915171441507E-08
0.02064384,0.286341,0.0495373,3.9634915171441507E-08
0.020709376,0.286341,0.0495373,3.9634915171441507E-08
0.020774912,0.2875805,0.0495373,3.9634915171441507E-08
0.020840448,0.285101,0.0470604,3.5770457735432729E-08
0.020905984,0.25907,0.0470604,3.5770457735432729E-08
0.02097152,0.2528725,0.0470604,3.5770457735432729E-08
0.021037056,0.254112,0.0470604,3.5770457735432729E-08
0.021102592,0.2578305,0.0470604,3.5770457735432729E-08
0.021168128,0.26031,0.0470604,3.5770457735432729E-08
0.021233664,0.262789,0.0470604,3.5770457735432729E-08
0.0212992,0.265268,0.0470604,3.5770457735432729E-08
0.021364736,0.2665075,0.0470604,3.5770457735432729E-08
0.021430272,0.268987,0.0470604,3.5770457735432729E-08
0.021495808,0.268987,0.0470604,3.5770457735432729E-08
0.021561344,0.2702265,0.0445836,3.2104324494414546E-08
0.02162688,0.271466,0.0470604,3.5770457735432729E-08
0.021692416,0.271466,0.0470604,3.5770457735432729E-08
0.021757952,0.2640285,0.0470604,3.5770457735432729E-08
0.021823488,0.242956,0.0470604,3.5770457735432729E-08
0.021889024,0.2417165,0.0470604,3.5770457735432729E-08
0.02195456,0.2441955,0.0470604,3.5770457735432729E-08
0.022020096,0.2466745,0.0470604,3.5770457735432729E-08
0.022085632,0.247914,0.0445836,3.2104324494414546E-08
0.022151168,0.250393,0.0421067,2.8636219410496051E-08
0.022216704,0.251633,0.0421067,2.8636219410496051E-08
0.02228224,0.2528725,0.0421067,2.8636219410496051E-08
0.022347776,0.254112,0.0421067,2.8636219410496051E-08
0.022413312,0.2553515,0.0421067,2.8636219410496051E-08
0.022478848,0.256591,0.0421067,2.8636219410496051E-08
0.022544384,0.256591,0.0421067,2.8636219410496051E-08
0.02260992,0.2578305,0.0421067,2.8636219410496051E-08
0.022675456,0.242956,0.0421067,2.8636219410496051E-08
0.022740992,0.2293205,0.0445836,3.2104324494414546E-08
0.022806528,0.228081,0.0421067,2.8636219410496051E-08
0.022872064,0.23056,0.0421067,2.8636219410496051E-08
0.0229376,0.2330395,0.0421067,2.8636219410496051E-08
0.023003136,0.234279,0.0421067,2.8636219410496051E-08
0.023068672,0.236758,0.0421067,2.8636219410496051E-08
0.023134208,0.239237,0.0421067,2.8636219410496051E-08
0.023199744,0.2404765,0.0421067,2.8636219410496051E-08
0.02326528,0.2417165,0.0421067,2.8636219410496051E-08
0.023330816,0.242956,0.0421067,2.8636219410496051E-08
0.023396352,0.2441955,0.0421067,2.8636219410496051E-08
0.023461888,0.2441955,0.0421067,2.8636219410496051E-08
0.023527424,0.242956,0.0421067,2.8636219410496051E-08
0.02359296,0.225602,0.0396298,2.5366294503191511E-08
0.023658496,0.2181645,0.0396298,2.5366294503191511E-08
0.023724032,0.219404,0.0396298,2.5366294503191511E-08
0.023789568,0.2206435,0.0421067,2.8636219410496051E-08
0.023855104,0.2231225,0.0421067,2.8636219410496051E-08
0.02392064,0.2243625,0.0421067,2.8636219410496051E-08
0.023986176,0.225602,0.0421067,2.8636219410496051E-08
0.024051712,0.228081,0.0396298,2.5366294503191511E-08
0.024117248,0.228081,0.0396298,2.5366294503191511E-08
0.024182784,0.2293205,0.0396298,2.5366294503191511E-08
0.02424832,0.2293205,0.0396298,2.5366294503191511E-08
0.024313856,0.23056,0.0396298,2.5366294503191511E-08
0.024379392,0.2317995,0.0396298,2.5366294503191511E-08
0.024444928,0.228081,0.0396298,2.5366294503191511E-08
0.024510464,0.210727,0.0396298,2.5366294503191511E-08
0.024576,0.2070085,0.0396298,2.5366294503191511E-08
0.024641536,0.208248,0.0396298,2.5366294503191511E-08
0.024707072,0.2094875,0.0396298,2.5366294503191511E-08
0.024772608,0.210727,0.0396298,2.5366294503191511E-08
0.024838144,0.213206,0.0396298,2.5366294503191511E-08
0.02490368,0.2144455,0.0396298,2.5366294503191511E-08
0.024969216,0.2156855,0.0396298,2.5366294503191511E-08
0.025034752,0.216925,0.0396298,2.5366294503191511E-08
0.025100288,0.216925,0.0396298,2.5366294503191511E-08
0.025165824,0.2181645,0.0396298,2.5366294503191511E-08
0.02523136,0.2181645,0.0396298,2.5366294503191511E-08
0.025296896,0.219404,0.0396298,2.5366294503191511E-08
